name,lon,lat,region,vs30,SDC,risk_target,ratio_Dmax,ratio_Dmin,frer_ratio_sds,frer_ratio_sd1,Sdsfr,Sd1fr,s1,sds,sd1
San Mateo,-122.3,37.55,norcal,760,E,0.15,1.08,2.7,0.568016069879735,0.450403181601181,0.715700248048466,0.243217718064638,0.81,1.26,0.54
Los Angeles,-118.25,34.05,so cal,760,D,0.2,0.96,2.7,0.40966864974618,0.355933553497719,0.553052677157344,0.170848105678905,0.72,1.35,0.48
Northridge,-118.55,34.2,so cal,760,D,0.2,0.933333333333333,2.52,0.507945930534764,0.39935108325308,0.640011872473803,0.187695009128948,0.7,1.26,0.47
Long Beach,-118.2,33.8,so cal,760,E,0.2,1,2.5,0.393140724061958,0.347376779973266,0.448180425430633,0.173688389986633,0.75,1.14,0.5
Oakland,-122.25,37.8,norcal,760,D,0.2,0.96,2.48,0.561836682691422,0.459294466725457,0.696677486537363,0.220461344028219,0.72,1.24,0.48
San Mateo,-122.3,37.55,norcal,760,E,0.2,1.08,2.7,0.467301859967561,0.363012646038442,0.588800343559127,0.196026828860759,0.81,1.26,0.54
Los Angeles,-118.25,34.05,so cal,760,D,0.25,0.96,2.7,0.349293992909165,0.301422284996262,0.471546890427372,0.144682696798206,0.72,1.35,0.48
Northridge,-118.55,34.2,so cal,760,D,0.25,0.933333333333333,2.52,0.43695389054124,0.339848870805374,0.550561902081962,0.159728969278526,0.7,1.26,0.47
Long Beach,-118.2,33.8,so cal,760,E,0.25,1,2.5,0.336580885664698,0.296344608705751,0.383702209657755,0.148172304352875,0.75,1.14,0.5
Oakland,-122.25,37.8,norcal,760,D,0.25,0.96,2.48,0.480153880550784,0.387689128354336,0.595390811882972,0.186090781610081,0.72,1.24,0.48
San Mateo,-122.3,37.55,norcal,760,E,0.25,1.08,2.7,0.396854849223289,0.303257297127948,0.500037110021344,0.163758940449092,0.81,1.26,0.54
Los Angeles,-118.25,34.05,so cal,760,D,0.3,0.96,2.7,0.303917121297119,0.260894940386218,0.410288113751111,0.125229571385385,0.72,1.35,0.48
Northridge,-118.55,34.2,so cal,760,D,0.3,0.933333333333333,2.52,0.382551757932089,0.295017489568463,0.482015214994432,0.138658220097178,0.7,1.26,0.47
Long Beach,-118.2,33.8,so cal,760,E,0.3,1,2.5,0.294120172929383,0.258271591483935,0.335296997139496,0.129135795741968,0.75,1.14,0.5
Oakland,-122.25,37.8,norcal,760,D,0.3,0.96,2.48,0.417813343200909,0.333765295855529,0.518088545569127,0.160207342010654,0.72,1.24,0.48
San Mateo,-122.3,37.55,norcal,760,E,0.3,1.08,2.7,0.343863242504194,0.259346930555257,0.433267685555285,0.140047342499839,0.81,1.26,0.54
