name,lat,lon,region,SDC_vs30_530,s1_vs30_530,sds_vs30_530,sd1_vs30_530,Sdsfr_vs30_530_RT_10,Sd1fr_vs30_530_RT_10,Sdsfr_vs30_530_RT_15,Sd1fr_vs30_530_RT_15,Sdsfr_vs30_530_RT_20,Sd1fr_vs30_530_RT_20,Sdsfr_vs30_530_RT_25,Sd1fr_vs30_530_RT_25,Sdsfr_vs30_530_RT_30,Sd1fr_vs30_530_RT_30,Sdsfr_vs30_530_RT_50,Sd1fr_vs30_530_RT_50,SDC_vs30_760,s1_vs30_760,sds_vs30_760,sd1_vs30_760,Sdsfr_vs30_760_RT_10,Sd1fr_vs30_760_RT_10,Sdsfr_vs30_760_RT_15,Sd1fr_vs30_760_RT_15,Sdsfr_vs30_760_RT_20,Sd1fr_vs30_760_RT_20,Sdsfr_vs30_760_RT_25,Sd1fr_vs30_760_RT_25,Sdsfr_vs30_760_RT_30,Sd1fr_vs30_760_RT_30,Sdsfr_vs30_760_RT_50,Sd1fr_vs30_760_RT_50,SDC_vs30_265,s1_vs30_265,sds_vs30_265,sd1_vs30_265,Sdsfr_vs30_265_RT_10,Sd1fr_vs30_265_RT_10,Sdsfr_vs30_265_RT_15,Sd1fr_vs30_265_RT_15,Sdsfr_vs30_265_RT_20,Sd1fr_vs30_265_RT_20,Sdsfr_vs30_265_RT_25,Sd1fr_vs30_265_RT_25,Sdsfr_vs30_265_RT_30,Sd1fr_vs30_265_RT_30,Sdsfr_vs30_265_RT_50,Sd1fr_vs30_265_RT_50
Ventura,34.3,-119.3,so cal,E,1.01,1.53,0.9,0.912774882776076,0.448536629826096,0.696394684092445,0.3339120055937,0.564693046906679,0.266344345070013,0.473954229964675,0.220934916718005,0.406654265509349,0.18800241092072,0.246475428916458,0.112351083845221,E,1.01,1.35,0.67,0.770379098111892,0.336436667345315,0.581486643457238,0.250300709083316,0.467729344260844,0.199486360464626,0.390056562132803,0.165346266766603,0.332943564202693,0.140555963157404,0.198914469921002,0.0837479596775529,E,1.01,1.5,1.4,1.04010224552207,0.728140279725067,0.823102378397095,0.552061540935849,0.686470694607296,0.446375645304242,0.589617320950598,0.374313098487103,0.515939212151779,0.321324529984418,0.33356182820985,0.19693540465903
Oakland,37.8,-122.25,norcal,D,0.72,1.44,0.69,1.25689032760467,0.502574044310588,0.996978455731961,0.38881814287472,0.831980441849904,0.318185308281271,0.714076347718683,0.268684846926543,0.623723389543354,0.231404231730637,0.39466306276012,0.140435496027913,D,0.72,1.24,0.48,1.06464877816852,0.348672765275402,0.839086680852244,0.269556928168444,0.696677486537363,0.220461344028219,0.595390811882972,0.186090781610081,0.518088545569127,0.160207342010654,0.323745742169854,0.0970831185400783,D,0.72,1.35,1.13,1.38127384286191,0.861560370404002,1.12186125726982,0.674603642959808,0.95383239556419,0.557327128085957,0.831741641242753,0.474412323691234,0.736817974253405,0.411519212815144,0.491148950559064,0.255634346491454
Concord,37.95,-122,norcal,E,0.87,1.9,0.84,1.35386016173774,0.532996508264438,1.06323028263496,0.410679188096373,0.880731099759114,0.335413185361402,0.751452902736346,0.282966222916847,0.653118299251051,0.243686025074306,0.407136539645572,0.148259380036992,E,0.87,1.66,0.58,1.15841358255749,0.383717517321918,0.901947502697027,0.295528685716417,0.742180233439271,0.241246549969216,0.629781016231308,0.203458563625726,0.544782356255967,0.175170791520385,0.334627884086159,0.106436930069347,E,0.87,1.61,1.28,1.43626282974483,0.883909051092633,1.16256636976137,0.691041849510546,0.985792618343602,0.570670995774172,0.857654033772463,0.485874922522312,0.758227756186924,0.42168083220944,0.501502593847073,0.262896541606276
Monterey,36.6,-121.9,norcal,D,0.49,1.06,0.47,0.761509172287738,0.290396926902786,0.617954228472852,0.231048446634229,0.527654058070404,0.194438227692138,0.463290213083161,0.168752246341239,0.413924069178219,0.149261912061855,0.28713243608322,0.100345574721543,D,0.49,0.9,0.33,0.621974712413111,0.200840486864066,0.502151389914631,0.159687369588822,0.427286910501345,0.134271332792329,0.374215714484353,0.116503499381719,0.333647339680174,0.102920936362882,0.230120125286149,0.0691549993642769,D,0.49,1.17,0.81,0.963452341912652,0.528863694298419,0.800040037651116,0.42474957549313,0.694185970970937,0.359738148109806,0.617112407928722,0.313675127246489,0.556964735158342,0.278574154378508,0.397915326680921,0.189457479134492
Sacramento,38.6,-121.5,norcal,D,0.24,0.48,0.23,0.358664510306767,0.169809790208818,0.291127474964381,0.138795985099638,0.248330844923422,0.118972544965716,0.217616977446391,0.104663339095189,0.193980603105705,0.0935949650959932,0.133058549252168,0.0650109294344097,C,0.24,0.39,0.16,0.285858321187656,0.117830212439368,0.231621614860291,0.0962042626467596,0.197290167110683,0.0822501248653009,0.172693551360953,0.072319670827955,0.153814883060563,0.0647703085228964,0.105234849175159,0.0448740344004035,D,0.24,0.65,0.42,0.525554267908273,0.318972019987999,0.433228304357666,0.261918353954244,0.373688005372754,0.22536393988578,0.330519779497221,0.198917268602747,0.296944556109093,0.17840576108609,0.20892400907656,0.124858536405772
San Francisco,37.75,-122.4,norcal,D,0.6,1.12,0.57,1.02254256717476,0.413879415691992,0.814906277652074,0.321500003586831,0.682709417946494,0.264158245000606,0.588001745541749,0.223964377088603,0.515292704323749,0.193699636548999,0.330232102881055,0.119677419691562,D,0.6,0.94,0.4,0.853534743306358,0.286948076123149,0.676809475493435,0.222704449810709,0.564744026716566,0.182878761249211,0.484743679739961,0.15501906021203,0.423500653717489,0.134005225282053,0.268653498633899,0.0826550017763242,D,0.6,1.16,1.17,1.187135510215,0.724559276099762,0.965182020072052,0.568751945657898,0.821579351063424,0.471166510182968,0.717346514795665,0.402270803904314,0.636344450755311,0.350078242103115,0.427823189538253,0.220640283683384
San Mateo,37.55,-122.3,norcal,E,0.81,1.47,0.77,1.09046607202145,0.463585591974927,0.854603514986772,0.350838804697348,0.707495141398331,0.282917827779097,0.603933101392,0.236565300615583,0.525591715444088,0.202358587035683,0.33177884590721,0.121961265538426,E,0.81,1.26,0.54,0.920639379942106,0.321700498991131,0.715700248048466,0.243217718064638,0.588800343559127,0.196026828860759,0.500037110021344,0.163758940449092,0.433267685555285,0.140047342499839,0.269876246808403,0.0842461982283766,E,0.81,1.43,1.53,1.23127646642199,0.794973524129421,0.992745593875921,0.611559552715923,0.840175919553738,0.49940968464957,0.730476592428856,0.421769155634223,0.645938101529457,0.363939757250488,0.431026355528849,0.224908481274176
San Jose,37.35,-121.9,norcal,D,0.61,1.03,0.57,1.35507059188423,0.575290156607827,1.09901119377065,0.456098804703539,0.933075906150249,0.380183858794434,0.812468323514178,0.325859897828335,0.718690692488276,0.284197251327684,0.474133923843929,0.178930986320043,D,0.61,0.9,0.4,1.1421972023293,0.426490914349388,0.922650450925278,0.337555773254142,0.780722171303573,0.281006427335311,0.677774136329178,0.240612791830021,0.597886291596721,0.209686523120867,0.390493528400049,0.131656986995816,D,0.61,1.08,1.13,1.50262416214008,0.934897977136705,1.23838936201348,0.747216172836655,1.06531483416156,0.62703970039569,0.938410298501374,0.540625363380106,0.838930919710959,0.474103079187624,0.579034351297915,0.304448392889962
Santa Cruz,36.95,-122.05,norcal,D,0.59,1.14,0.57,0.945170252032923,0.368555231806989,0.760951936940509,0.290033156409162,0.643985161902152,0.24115686167657,0.560353959756536,0.206846879482123,0.496217062963784,0.180882073516142,0.332843588561492,0.116792950706254,D,0.59,0.99,0.4,0.783038084843172,0.255219710952638,0.627152261736079,0.200681101712846,0.5286052962434,0.166798786622867,0.458418217915172,0.142912021846084,0.404765698544608,0.124974675759137,0.269066286575681,0.0805530313623759,D,0.59,1.24,0.98,1.13061455691402,0.654850630076761,0.928869360041549,0.520508779853045,0.799426842363798,0.436199671093916,0.706501086408045,0.376506591561578,0.634051912981207,0.33109858948479,0.443471333524385,0.217458645026928
Vallejo,38.1,-122.25,norcal,E,0.89,1.6,0.79,1.18494229139288,0.520536588239693,0.938798433245024,0.405608018735473,0.782132071688051,0.333561722752849,0.669957983686887,0.282664920158485,0.583905832259142,0.244106567515954,0.365669341206201,0.148751252056703,E,0.89,1.4,0.59,1.0011599430133,0.392417849347156,0.788420843081054,0.305532083658774,0.653658699785338,0.251071260266461,0.557585000583645,0.212605105312076,0.484150525391658,0.183488710605121,0.299388346902988,0.1115474264433,E,0.89,1.45,1.2,1.31542405796519,0.838392321203784,1.06661777439752,0.660372538416915,0.905236578700268,0.547811121250278,0.787885108553747,0.467697760313378,0.696593537748268,0.406571097622144,0.459740430810668,0.253451977906149
Santa Rosa,38.45,-122.7,norcal,E,1.15,1.95,1.03,1.20233784207006,0.544583337387009,0.92311211173593,0.405173687835983,0.75162409433153,0.322025731772094,0.632602760459554,0.265849063703724,0.543767686213757,0.224882848905773,0.329824584120715,0.130741228804811,E,1.15,1.69,0.77,1.02863315554414,0.405352933998611,0.781343688424895,0.30121442364805,0.630861077525679,0.239151181171192,0.527306741117304,0.197200549410073,0.450611594281434,0.166638493706186,0.268702746122985,0.0965132942301942,E,1.15,1.72,1.6,1.28618656373434,0.858948292004649,1.0247624189093,0.651368195885441,0.858734131704009,0.525538926181538,0.740155933099623,0.439215031691805,0.649359627359146,0.375464583304462,0.42120187016535,0.225202883662762
