name,lon,lat,region,SDC_vs30_530,s1_vs30_530,sds_vs30_530,sd1_vs30_530,Sdsfr_vs30_530_beta_0p5,Sd1fr_vs30_530_beta_0p5,Sdsfr_vs30_530_beta_0p6,Sd1fr_vs30_530_beta_0p6,Sdsfr_vs30_530_beta_0p7,Sd1fr_vs30_530_beta_0p7,Sdsfr_vs30_530_beta_1p0,Sd1fr_vs30_530_beta_1p0,SDC_vs30_760,s1_vs30_760,sds_vs30_760,sd1_vs30_760,Sdsfr_vs30_760_beta_0p5,Sd1fr_vs30_760_beta_0p5,Sdsfr_vs30_760_beta_0p6,Sd1fr_vs30_760_beta_0p6,Sdsfr_vs30_760_beta_0p7,Sd1fr_vs30_760_beta_0p7,Sdsfr_vs30_760_beta_1p0,Sd1fr_vs30_760_beta_1p0,SDC_vs30_265,s1_vs30_265,sds_vs30_265,sd1_vs30_265,Sdsfr_vs30_265_beta_0p5,Sd1fr_vs30_265_beta_0p5,Sdsfr_vs30_265_beta_0p6,Sd1fr_vs30_265_beta_0p6,Sdsfr_vs30_265_beta_0p7,Sd1fr_vs30_265_beta_0p7,Sdsfr_vs30_265_beta_1p0,Sd1fr_vs30_265_beta_1p0
Big Sur CA,-121.75,36.25,so cal,D,0.48,0.99,0.46,0.5253142082775,0.212325033889983,0.548017022425321,0.220271801385459,0.581411230054267,0.232040150346973,0.75876647490409,0.295442515334145,D,0.48,0.86,0.32,0.427620330026857,0.14705116075209,0.445405705470692,0.152301652715519,0.471729068581295,0.160466594495093,0.612115766709405,0.203909411803992,D,0.48,1.03,0.76,0.68038625440199,0.390110620242849,0.716575141477087,0.405654921621193,0.768076724436047,0.428685864600074,1.03586968843833,0.551186948180746
Brawley CA,-115.55,33,so cal,D,0.71,1.25,0.67,1.53509547486006,0.587255903386837,1.58931015642296,0.600149628764039,1.66660146040301,0.620919711379283,2.04773941775274,0.733114844469276,D,0.71,1.07,0.47,1.32229334680167,0.408020589524434,1.36550382505994,0.416856480623193,1.42800966153101,0.43112866542236,1.73940390029372,0.508520016384587,D,0.71,1.15,1.29,1.54600693900033,0.973116362322815,1.61875224542144,0.999066985275988,1.71761016965209,1.03883161295227,2.18882967761097,1.24688955166805
Century City CA,-118.4,34.05,so cal,E,0.92,1.62,0.81,1.01640540850721,0.438737714494859,1.03941465006109,0.444667674079609,1.07823731660133,0.456987440729372,1.29931142596031,0.536442439866949,E,0.92,1.42,0.61,0.863674084552101,0.33157596674899,0.880115402482477,0.335924987536822,0.909614282383409,0.34503705628683,1.08399476824851,0.404313948950216,E,0.92,1.57,1.23,1.10912218567576,0.703801868285868,1.15037140258623,0.717111660124997,1.21124600525022,0.741242445526078,1.52817000898353,0.886778371237397
Coalinga CA,-120.4,36.15,so cal,D,0.6,1.48,0.58,1.0699008644296,0.358743956461322,1.12588751110832,0.372626777569066,1.2031520704002,0.393272436608142,1.58136440552743,0.501354323032241,D,0.6,1.26,0.4,0.890720041023922,0.248167546816945,0.935070316709683,0.257714624833684,0.996790756553725,0.271827073707778,1.30096523479658,0.346226447931603,D,0.6,1.45,0.98,1.20998935796406,0.634546731719078,1.29041570913257,0.662203288158345,1.39752080896497,0.70219053946797,1.90737717095127,0.907861998986081
Concord CA,-122,37.95,nor cal,E,0.91,1.9,0.84,1.27887158903364,0.511012117131041,1.30704767675687,0.518487192347683,1.35386016173774,0.532996508264438,1.61356797021582,0.62213220928275,E,0.91,1.66,0.61,1.1025522502825,0.3680822024259,1.1226555611419,0.373338213208289,1.15841358255749,0.383717517321918,1.3649910896139,0.447550140046921,E,0.91,1.61,1.28,1.31621138673059,0.838182155107466,1.36535800569124,0.854915489247951,1.43626282974483,0.883909051092633,1.793929421175,1.0508281699608
Cucamonga CA,-117.55,34.2,so cal,E,0.9,1.74,0.86,1.15474396188673,0.477304794288282,1.18616424711056,0.483046032575461,1.23523569371688,0.495524810019164,1.50002184662569,0.577198461089603,E,0.9,1.52,0.6,0.985609276551984,0.331148876238831,1.00916641176359,0.335042836327165,1.04733521426851,0.343538381830618,1.25835141670159,0.39967959370608,E,0.9,1.73,1.56,1.23725001332295,0.806622446425821,1.28741875045723,0.82075962298661,1.35936695307913,0.846998601707596,1.72544737429351,1.00646263922947
Death Valley CA,-116.85,36.35,so cal,D,0.44,0.91,0.43,0.427383331001314,0.164384686873579,0.436246042900485,0.1695822225133,0.451962485194746,0.177626507763972,0.546040983135794,0.221681109562588,D,0.44,0.79,0.3,0.348480397383484,0.113678995075698,0.355195306582438,0.117304979694496,0.36741483158547,0.122643291319259,0.441333101162503,0.152915383252,D,0.44,0.93,0.7,0.544683314734211,0.304402502123156,0.562260617970881,0.314719451340246,0.590116333253939,0.330507776499385,0.74429117612196,0.41648421405872
Diablo Canyon CA,-120.85,35.2,so cal,D,0.42,0.91,0.4,0.457484294973276,0.184929078183321,0.468151514385148,0.189614926052366,0.486697783578189,0.19754603796974,0.596507270214305,0.243847955200954,D,0.42,0.79,0.28,0.373621310570687,0.128062465917911,0.381668278799022,0.131154784066879,0.396036332233294,0.136617859565053,0.482266194297987,0.168353446884854,D,0.42,0.95,0.68,0.587545168457762,0.339907144690707,0.608343904106981,0.349623614034281,0.64061338932074,0.365531293667603,0.817935415675384,0.456568519060831
Eureka CA,-124.2,40.8,nor cal,E,1.2,2.38,1.13,1.46103696107752,0.61640894198561,1.47972518435157,0.614097389833162,1.52037440669364,0.619955731076996,1.79061222571292,0.691420624526085,E,1.2,2.05,0.8,1.26234386132633,0.436434734284966,1.27338131239714,0.434155150092913,1.30268609766366,0.437601729492453,1.51295749559077,0.485599078318434,E,1.2,2.43,1.65,1.48825579028017,0.970996473435762,1.53102968519662,0.975905107616502,1.5998843901561,0.994870415005603,1.98719580084683,1.14566984351043
Fresno CA,-119.75,36.75,nor cal,D,0.23,0.51,0.22,0.319349942813323,0.142581776420281,0.33402158435244,0.150142502643861,0.355695386867816,0.16078613525386,0.472141950429842,0.21654024596624,C,0.23,0.42,0.15,0.25552654458452,0.0987842538631498,0.266974717153266,0.103730925616254,0.283914743081308,0.111059434350659,0.37541013111659,0.149292366321177,D,0.23,0.65,0.41,0.455589227116651,0.270374548312009,0.481803111016249,0.285216579118299,0.519066194887044,0.306315857124179,0.71301398831854,0.415675663754109
Irvine CA,-117.8,33.65,so cal,D,0.45,1.01,0.43,0.655882633846665,0.251358999585929,0.680019594320317,0.259695508994057,0.715590241939728,0.272258197476984,0.900904915500808,0.33995379746675,D,0.45,0.86,0.3,0.538842862849085,0.175685049734299,0.557640395966353,0.181386480032328,0.585628562802937,0.190171966766707,0.73260640475686,0.237184633578377,D,0.45,1.12,0.75,0.809061578243476,0.45578231991278,0.847517399943388,0.472333084182004,0.901720439497993,0.497066243891209,1.17697068008939,0.627634760962529
Long Beach CA,-118.2,33.8,so cal,E,0.75,1.31,0.67,0.780892636036751,0.343114094671422,0.801334370333067,0.350636109798146,0.834696881039417,0.363599877926463,1.02150724772938,0.439681260483062,E,0.75,1.14,0.5,0.65199030699798,0.25787741113591,0.66713874165825,0.263207383061955,0.692814399413835,0.272662470259437,0.840157305661239,0.328751526626836,E,0.75,1.32,1.05,0.907964237570069,0.568157205585972,0.944287858457842,0.583176709392378,0.997556830113944,0.60774708006542,1.27444445339629,0.746486840679918
Los Angeles CA,-118.25,34.05,so cal,D,0.72,1.53,0.68,0.962438349706614,0.369792615296412,0.984626748827884,0.375472389991767,1.02216796649156,0.386708135637105,1.23692489136373,0.457628100560355,D,0.72,1.35,0.48,0.814552688196101,0.259705340858896,0.830459153978083,0.26357899908682,0.859006409560689,0.27137114537339,1.02824354239083,0.320786564328299,D,0.72,1.52,1.11,1.06646264932546,0.63772702663676,1.10681795018174,0.650859924311638,1.16647842674017,0.674116004781225,1.47811555573971,0.81233133016179
Malibu West CA,-118.95,34.05,so cal,D,0.54,1.21,0.51,0.746142221219775,0.277392219426053,0.767152253245504,0.283950523998207,0.800054490414447,0.294838225313053,0.977694844354568,0.356474623511437,D,0.54,1.05,0.36,0.619430402355677,0.19465645588013,0.635444029038241,0.199250225779995,0.661082799545237,0.206823306666774,0.801836314885459,0.24977676378741,D,0.54,1.26,0.86,0.880535184090484,0.494362856922888,0.915418027330773,0.507881598682911,0.965953435388891,0.529345536971357,1.22567722650018,0.648196379879689
Mammoth Lakes CA,-119,37.65,nor cal,D,0.58,1.44,0.55,1.01339664198155,0.336790869268928,1.05439042183041,0.346756396029114,1.1138623307801,0.362576431080508,1.41863942119373,0.45116205708153,D,0.58,1.23,0.38,0.848517462972415,0.232795549136367,0.880218880695557,0.239683031134617,0.927008846730714,0.250568052863101,1.17019260566612,0.311469730748801,D,0.58,1.36,0.94,1.12997407680224,0.593033921960036,1.19338051822459,0.613646760800735,1.28006670295538,0.645152415641774,1.70411981998806,0.815896408937672
Monterey CA,-121.9,36.6,nor cal,D,0.49,1.06,0.47,0.686578069129297,0.26745884298459,0.717110106499477,0.276514675394827,0.761509172287738,0.290396926902786,0.992932828408217,0.365916817543436,D,0.49,0.9,0.33,0.563403817610142,0.185150420567073,0.587095443508101,0.191302430268969,0.621974712413111,0.200840486864066,0.805320188036177,0.252663195054501,D,0.49,1.17,0.81,0.849200069079448,0.483224263767575,0.896527512704388,0.501493777082234,0.963452341912652,0.528863694298419,1.30527754767111,0.674772650980725
